,work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_location,company_size
2,2020,SE,FT,109024,50,GB,M
4,2020,SE,FT,150000,50,US,L
5,2020,EN,FT,72000,100,US,L
6,2020,SE,FT,190000,100,US,S
8,2020,MI,FT,135000,100,US,L
13,2020,MI,FT,87000,100,US,L
14,2020,MI,FT,85000,100,US,L
17,2020,SE,FT,114047,100,GB,S
19,2020,MI,FT,56000,100,US,M
23,2020,MI,FT,98000,0,US,M
25,2020,EX,FT,325000,100,US,L
28,2020,EN,CT,100000,100,US,L
29,2020,SE,FT,117104,50,CA,L
31,2020,EN,FT,70000,100,US,L
32,2020,SE,FT,68428,100,US,L
33,2020,MI,FT,450000,0,US,M
36,2020,MI,FT,103000,100,US,L
37,2020,EN,FT,250000,50,US,L
39,2020,EN,FT,138000,100,US,S
40,2020,MI,FT,45760,100,US,S
43,2020,MI,FT,106000,100,US,L
44,2020,MI,FT,112872,50,GB,L
46,2020,MI,FT,76958,100,GB,S
47,2020,SE,FT,188000,100,US,L
48,2020,MI,FT,105000,100,US,L
51,2020,EN,FT,91000,100,US,L
54,2020,SE,FL,60000,100,US,S
57,2020,MI,FT,118000,100,US,M
58,2020,SE,FT,120000,50,US,L
59,2020,MI,FT,138350,100,US,M
60,2020,MI,FT,110000,100,US,L
61,2020,MI,FT,130800,100,US,M
63,2020,SE,FT,412000,100,US,L
67,2020,SE,FT,190200,100,US,M
68,2020,EN,FT,105000,100,US,S
72,2021,EN,FT,82528,50,GB,L
73,2021,EX,FT,150000,100,US,L
74,2021,EX,FT,235000,100,US,L
76,2021,MI,FT,100000,100,US,M
78,2021,MI,CT,270000,100,US,L
79,2021,EN,FT,80000,100,US,M
81,2021,MI,FT,140000,100,US,L
82,2021,MI,FT,54238,50,CA,L
87,2021,MI,FT,110000,100,US,L
88,2021,SE,FT,170000,100,US,L
89,2021,SE,FT,80000,100,US,S
93,2021,SE,FT,276000,0,US,L
96,2021,EN,PT,12000,100,US,S
97,2021,MI,FT,450000,100,US,L
98,2021,EN,FT,70000,100,US,M
99,2021,MI,FT,95746,100,US,S
100,2021,MI,FT,75000,0,US,L
101,2021,SE,FT,150000,100,US,L
102,2021,MI,FT,36259,50,US,L
103,2021,MI,FT,62000,0,US,L
104,2021,MI,FT,73000,0,US,L
105,2021,MI,FT,51519,50,GB,L
106,2021,MI,FT,187442,100,CA,L
107,2021,SE,FT,115000,100,US,S
108,2021,SE,FT,150000,100,US,M
111,2021,SE,FT,113476,100,GB,M
112,2021,SE,FT,103160,100,GB,S
113,2021,EN,PT,12000,100,US,M
115,2021,EN,FT,225000,100,US,L
118,2021,EN,FT,90000,100,US,S
